,index,substitutes,sub_demand_tot,supply,byprod,byprod_avail,conversion,treatment,substituteCCs,bypCCs,treatmentCCs,totalCCs,supply_remaining,demand_remaining,demand_met
0,130,d4883bb611557107b44ed2ccc70bc3c7,4015.9376881829603,274.2697410345568,4956343d45f1e4da6d6c635bd17a7f3f,3428.37176293196,0.08,811fabc636b507d0d6f390582fc957b3,343.65037387481874,9.207617528637378,0.0,458.745592982786,0.0,3741.6679471484035,274.2697410345568
1,64,8bae8bac48e6f42f88bf74c08199b681,5872.689139080688,102.57592029186328,466bf4344a5a3c72e47ecb0aa43b26a2,102575.92029186328,0.001,f593e681dd3b8e3ea76f17cebd28aeeb,1.9293096446471973,0.17714501105049968,0.0,179.07432069514687,0.0,5770.113218788824,102.57592029186328
2,63,f91efb8758ca203688a82efaada469d5,242261.28836217077,102.85287527665132,466bf4344a5a3c72e47ecb0aa43b26a2,102575.92029186328,0.0010027,80e5d1a7a269279e82e3f86271b0d6e7,0.4714725955960637,0.17714501105049968,0.0,177.13948002603354,0.0,0.0,0.0
3,93,cfbc8a71f3cec9b8e593470d411cb18f,19177.95750201581,18303.25973904332,8d6425d6f85ce7abe890366b6c4749aa,9151629.869521659,0.002,c03201092837c82f4a0fa39214ff7431,35.04088110561337,0.019138340807500463,0.06058183795128898,44.6099303456877,0.0,0.0,18303.25973904332
4,128,cfbc8a71f3cec9b8e593470d411cb18f,19177.95750201581,2135.3298001088997,09bb2cc9ff96eb23d4f6523035e410fe,1067664.90005445,0.002,6116ebff20b1cd36f16e1e93be27032f,35.04088110561337,0.016165444588532876,0.019426681170847556,43.10417671870896,1099.561036902518,0.0,874.6977629724934
5,62,6d656e138e0bda92b92375bf00aa749f,381591.56477835256,636.0732817298442,466bf4344a5a3c72e47ecb0aa43b26a2,102575.92029186328,0.006201,8bbb0124d42fe8623cc350024e815f24,10.849328126181293,0.17714501105049968,0.0,39.41649649426704,0.0,0.0,0.0
6,92,70b6d6f7b22c119e66293ab8b5cefaba,73.42763521279932,18303.25973904332,8d6425d6f85ce7abe890366b6c4749aa,9151629.869521659,0.002,c03201092837c82f4a0fa39214ff7431,20.359780272500775,0.019138340807500463,0.06058183795128898,29.928829512575103,0.0,0.0,0.0
7,127,70b6d6f7b22c119e66293ab8b5cefaba,73.42763521279932,2135.3298001088997,09bb2cc9ff96eb23d4f6523035e410fe,1067664.90005445,0.002,6116ebff20b1cd36f16e1e93be27032f,20.359780272500775,0.016165444588532876,0.019426681170847556,28.42307588559636,1099.561036902518,0.0,73.42763521279932
8,18,6d656e138e0bda92b92375bf00aa749f,381591.56477835256,4528.43769261336,c642c6773d93c9775a6cb5ab9d10684a,4528.43769261336,1.0,,10.849328126181293,0.059519574869333805,0.0,10.908847701050627,0.0,0.0,4528.43769261336
9,144,6d656e138e0bda92b92375bf00aa749f,381591.56477835256,1042725.84927372,428edbf1a2cf1fdf4f038de77d44ca9c,1042725.84927372,1.0,,10.849328126181293,0.0,0.0,10.849328126181293,665662.7221879808,0.0,377063.1270857392
10,145,6d656e138e0bda92b92375bf00aa749f,381591.56477835256,6753443.47696584,f55413e999f43636c030594232a1ced1,6753443.47696584,1.0,,10.849328126181293,0.0,0.0,10.849328126181293,6753443.47696584,0.0,0.0
11,146,6d656e138e0bda92b92375bf00aa749f,381591.56477835256,1281297.62883377,f79c68f71809c248deefd9f1dff8b0a3,1281297.62883377,1.0,,10.849328126181293,0.0,0.0,10.849328126181293,1281297.62883377,0.0,0.0
12,135,bde7404438fdfc7938698920aa9fc156,46856044.64041156,0.205289757479959,39f553a9a30d20f407931e9d9c2e9d46,0.205289757479959,1.0,,7.815233776045814e-06,7.293012595656598,0.0,7.293020410890374,0.0,38977066.800449595,0.205289757479959
13,117,92e387e281a6aab351faf6cedbfce012,33557.78880869144,25068.4075563058,9efa6db1b548459d076efecc9294c6c2,50136.8151126116,0.5,,0.9389886928809176,3.1590428078477824,0.0,7.257074308576482,0.0,0.0,25068.4075563058
14,120,d526bb3cd54b6a4100208f40cc5ee59c,3598103.676490877,25068.4075563058,9efa6db1b548459d076efecc9294c6c2,50136.8151126116,0.5,,0.9160375677191319,3.1590428078477824,0.0,7.234123183414697,0.0,3503862.137947718,0.0
15,119,04c0b1b7d1ad8bffaec0824dad10684f,3107193.0364465243,25068.4075563058,9efa6db1b548459d076efecc9294c6c2,50136.8151126116,0.5,,0.8883895292566241,3.1590428078477824,0.0,7.206475144952189,0.0,3107193.0364465243,0.0
16,121,62e1ce20b2e357a7589fa83c3bf803a7,6494607.6824053675,25068.4075563058,9efa6db1b548459d076efecc9294c6c2,50136.8151126116,0.5,,0.8814384153188102,3.1590428078477824,0.0,7.199524031014375,0.0,6494607.6824053675,0.0
17,118,4207a3fd0d07ed0f243913f1eb0b17c7,37251.756145211104,25068.4075563058,9efa6db1b548459d076efecc9294c6c2,50136.8151126116,0.5,,0.7473349402852847,3.1590428078477824,0.0,7.065420555980849,0.0,37251.756145211104,0.0
18,122,3ed5d97397dd4525fcf2e8d6208f115d,510700.81467998633,25068.4075563058,9efa6db1b548459d076efecc9294c6c2,50136.8151126116,0.5,,0.27087642517926214,3.1590428078477824,0.0,6.588962040874827,0.0,510700.81467998633,0.0
19,56,0c03435daea210f81f1d92699e4e33e1,3030.8191548476984,839062.4593663003,ba4f24b823d8fcbc7293bf29babd18ad,839062.4593663003,1.0,7d01cc4e185806b2a8b04ea0c4c3fa2e,4.7081715923263125,0.008414779681248924,0.0,4.716586372007561,0.0,0.0,3030.8191548476984
20,96,008a8163b4e7276347fdb6f559cb5c47,16098784.15297212,16651.9088682483,205d8c93fd695eca8f07d7f05201c323,16651.9088682483,1.0,1a6720e85c6259e84e0f2d56e555eb44,2.1789495351473334,3.0529240799847424,0.7760890824766435,4.455784532655432,0.0,0.0,16651.9088682483
21,23,92e387e281a6aab351faf6cedbfce012,33557.78880869144,21656.56064462911,67f1db73e3e72076a2191fe85db15d14,39375.56480841656,0.55,,0.9389886928809176,1.648222328258942,0.0,3.9357565624426303,0.0,0.0,8489.38125238564
22,26,d526bb3cd54b6a4100208f40cc5ee59c,3598103.676490877,21656.56064462911,67f1db73e3e72076a2191fe85db15d14,39375.56480841656,0.55,,0.9160375677191319,1.648222328258942,0.0,3.9128054372808445,0.0,3503862.137947718,13167.17939224347
23,25,04c0b1b7d1ad8bffaec0824dad10684f,3107193.0364465243,21656.56064462911,67f1db73e3e72076a2191fe85db15d14,39375.56480841656,0.55,,0.8883895292566241,1.648222328258942,0.0,3.8851573988183365,0.0,3107193.0364465243,0.0
24,27,62e1ce20b2e357a7589fa83c3bf803a7,6494607.6824053675,21656.56064462911,67f1db73e3e72076a2191fe85db15d14,39375.56480841656,0.55,,0.8814384153188102,1.648222328258942,0.0,3.8782062848805228,0.0,6494607.6824053675,0.0
25,24,4207a3fd0d07ed0f243913f1eb0b17c7,37251.756145211104,21656.56064462911,67f1db73e3e72076a2191fe85db15d14,39375.56480841656,0.55,,0.7473349402852847,1.648222328258942,0.0,3.7441028098469973,0.0,37251.756145211104,0.0
26,106,f73ebbe3fe8fd9ac4f9f5547726a5386,1229.7891549207102,1248.70898807333,b71e98260226286f15b5477b39a6d716,1248.70898807333,1.0,60d4026aaf43a9c8521402e8e202352f,4.007949585210885,0.3295395858226993,0.6945204749065255,3.642968696127059,18.91983315261973,0.0,1229.7891549207102
27,116,1b93811eb495190db70b2517b44b11b1,793434.8781263062,50136.8151126116,9efa6db1b548459d076efecc9294c6c2,50136.8151126116,1.0,,0.44308329001006747,3.1590428078477824,0.0,3.60212609785785,0.0,785016.7335173339,0.0
28,102,008a8163b4e7276347fdb6f559cb5c47,16098784.15297212,4.573974911571168,015e9aef83f1014882a2a0f9f96ac17e,4.573974911571168,1.0,1a6720e85c6259e84e0f2d56e555eb44,2.1789495351473334,2.06563325192231,0.7760890824766435,3.468493704593,0.0,0.0,4.573974911571168
29,91,e2b6a19530d1f552ebeb042487d41100,827131.4732422013,866894.332204825,83a85fcfbb769a87a41768e1a717533f,866894.332204825,1.0,37b4e76d83d87e52990fddc037e0ee4a,3.45695304287545,0.005301494238453416,0.0,3.4622545371139033,0.0,0.0,827131.4732422013
30,123,f6833301ad1e428be3af6d2554fbe611,40626853.50990353,4534944.89706567,b181c5fe94d887d96b91bfe0d068dea1,4534944.89706567,1.0,,2.61969871964164,0.7756385960918705,0.0,3.3953373157335105,0.0,36091908.61283786,4534944.89706567
31,28,3ed5d97397dd4525fcf2e8d6208f115d,510700.81467998633,21656.56064462911,67f1db73e3e72076a2191fe85db15d14,39375.56480841656,0.55,,0.27087642517926214,1.648222328258942,0.0,3.2676442947409745,0.0,510700.81467998633,0.0
32,105,e2b6a19530d1f552ebeb042487d41100,827131.4732422013,1248.70898807333,b71e98260226286f15b5477b39a6d716,1248.70898807333,1.0,60d4026aaf43a9c8521402e8e202352f,3.45695304287545,0.3295395858226993,0.6945204749065255,3.0919721537916236,18.91983315261973,0.0,0.0
33,110,5d7b81539ec02c29e79cc3c05e7cf896,2112824.5467397673,2177.976970812023,fab73489702637b9c40b4d35fd61e519,2177.976970812023,1.0,1a6720e85c6259e84e0f2d56e555eb44,2.5904248151691602,1.1762502652056956,0.7760890824766435,2.9905859978982123,0.0,2110646.5697689555,2177.976970812023
34,73,1b93811eb495190db70b2517b44b11b1,793434.8781263062,8418.14460897231,0f4bf6380cdf59b1177e5fbd7f058aa5,8418.14460897231,1.0,,0.44308329001006747,2.3698823999600145,0.0,2.812965689970082,0.0,785016.7335173339,8418.14460897231
35,95,69f70a726a37a26582f9ad9057c4d06e,12580077.471872045,16651.9088682483,205d8c93fd695eca8f07d7f05201c323,16651.9088682483,1.0,1a6720e85c6259e84e0f2d56e555eb44,0.24650148807300654,3.0529240799847424,0.7760890824766435,2.523336485581105,0.0,0.0,0.0
36,108,008a8163b4e7276347fdb6f559cb5c47,16098784.15297212,592558.553978121,1dd34b133191c752093d24011102b0d5,592558.553978121,1.0,1a6720e85c6259e84e0f2d56e555eb44,2.1789495351473334,0.9997852664769851,0.7760890824766435,2.402645719147675,0.0,0.0,592558.553978121
37,109,ccfb64ee17372f0470664d018b316686,14535320.339075392,2177.976970812023,fab73489702637b9c40b4d35fd61e519,2177.976970812023,1.0,1a6720e85c6259e84e0f2d56e555eb44,1.9870123303314677,1.1762502652056956,0.7760890824766435,2.3871735130605196,0.0,14535320.339075392,0.0
38,67,1d62776952015f943a89f436775067b4,366271.9790059472,154994.616120911,fbdc7ab4413e89ef6589191cdc68cd42,154994.616120911,1.0,,0.899191669806178,1.4301025944447272,0.0,2.329294264250905,0.0,211277.3628850362,154994.616120911
39,98,008a8163b4e7276347fdb6f559cb5c47,16098784.15297212,67545369.1794693,ac015350c8d805cb0bf7b9ae83fe7aed,67545369.1794693,1.0,1a6720e85c6259e84e0f2d56e555eb44,2.1789495351473334,0.6983640027331661,0.7760890824766435,2.1012244554038557,39475722.591446415,0.0,15489569.116150841
40,54,f5d1c199f9b95cae4fe0bbc1afa067f0,3571369.313191262,839062.4593663003,ba4f24b823d8fcbc7293bf29babd18ad,839062.4593663003,1.0,7d01cc4e185806b2a8b04ea0c4c3fa2e,1.9601269482150097,0.008414779681248924,0.0,1.9685417278962585,0.0,2735337.6729798093,836031.6402114526
