,codes,activities,units
700,8627f03af4da1c660ca796348b9f1898,market for sugarcane,kilogram
701,368e596c4a45cb014df88d1fa02d5d4f,"market for hydrogen, liquid",kilogram
702,0f7ff8f5087eb874cbb0e1f560f1242e,market for lead smelter slag,kilogram
703,80cb2a41b1f60f542debaa05ab5fa03a,"market for wood chips, dry, measured as dry mass",kilogram
704,a9f449b65099fa4d346660ec67b41704,"market for electricity, low voltage",kilowatt hour
705,cbdfd6f24f781c40bce7761a74c2997e,market for irrigation,cubic meter
706,c56b160b85c8e02554c91b848ebf602c,"market for sawlog and veneer log, hardwood, measured as solid wood under bark",cubic meter
707,ce1d893e504fa1c1ee84b20cc5f6a61a,market for cement factory,unit
708,69b526b78c08e05d45829d22dfe54c46,market for pig iron,kilogram
709,1d62776952015f943a89f436775067b4,"market for solvent, organic",kilogram
710,13cba3d573fc1151b28826bc9d8b784b,"market group for heat, district or industrial, natural gas",megajoule
711,5b95b2a7d73335cc3fff05c0c8a22133,market for malusil,kilogram
712,cbe8eb5a848aa113efda02064e4a8c50,market for ventilation components factory,unit
713,115c363512a9144d6003b36b1d585708,market for butadiene,kilogram
714,970c48c1e23eea6578b3c4ee76293ba9,market for sulfuric acid,kilogram
715,4e090e7d04c9773e3262ff302a2a2f2f,"market group for natural gas, high pressure",cubic meter
716,43764105dcb93df903d781b775e71205,"market for lime, hydrated, packed",kilogram
717,6dbb110a25a2ee8adf917b7778008e3d,market for urea formaldehyde resin,kilogram
718,04a8eefed507d7782b5c699dfb8509a9,market for ethylene vinyl acetate copolymer,kilogram
719,f0e7016823ae085c32eda81fe02088f5,"market for transport, freight train",ton kilometer
720,e3e6881ad361c2b885665388a6d8bc0f,"market for diesel, burned in building machine",megajoule
721,1b93811eb495190db70b2517b44b11b1,market for pitch,kilogram
722,2c823e2f6eb701a646f0602ae4b452dd,"electricity production, natural gas, conventional power plant",kilowatt hour
723,776c78059f355d226fea440c719109d4,"market for potato, Swiss integrated production",kilogram
724,e91b09ad5622747f73c136f90f7e815d,"market for electricity, medium voltage",kilowatt hour
725,0c03435daea210f81f1d92699e4e33e1,"market for steel, chromium steel 18/8",kilogram
726,deaa46d286a9af09c1f3ef9ef3827ca7,market for waste emulsion paint,kilogram
727,27a53a630a012304f4523d58ce0b77b2,"market for heat, district or industrial, natural gas",megajoule
728,c18923c1432219fefd2d5dba9d330076,market for sodium cyanide,kilogram
729,b2e73f7c5b8cfaf4806a71a10122f783,market for irrigation,cubic meter
730,6cb453db7efc2604f29b5d24657e1c35,"market for transformer, high voltage use",kilogram
731,fb2bff6f86ca38a32245ffb138975f84,"market group for electricity, high voltage",kilowatt hour
732,cf976c77db37cd4c3f1376b8b27c35de,"market for electricity, medium voltage",kilowatt hour
733,63f11998730af6f6d3309224c0c3803d,market for lead concentrate,kilogram
734,e3672ed60c481a243f4c29dd76754e2b,"market for electricity, medium voltage",kilowatt hour
735,915d0ca8f01d0edb98ef75f4012001fc,market for glass wool mat,kilogram
736,22b9bac3e8c755378584103aadda75cb,"market for sulfur dioxide, liquid",kilogram
737,5ea93f253a62910d9d35803ca0eec8fe,market for silicone product,kilogram
738,72afba5a8d81b28f8952e251849aaff4,market for evaporation of milk,kilogram
739,bde7404438fdfc7938698920aa9fc156,"market for water, decarbonised, at user",kilogram
740,bc7f0e1eea822f9126713d105dc52455,"market for petrol, unleaded",kilogram
741,57608f972bfeadc3a3e8a51ecd951572,"market for electricity, medium voltage",kilowatt hour
742,aa343c4e6f6aa953de8cba738727c81f,"market for sodium perborate, tetrahydrate, powder",kilogram
743,604303ca2a91283b789128f6b9249f65,market group for tap water,kilogram
744,83a85fcfbb769a87a41768e1a717533f,"market for waste mineral wool, final disposal",kilogram
745,cf05130d27ebb4a28fe13e6cb98e4d96,market for hard coal,kilogram
746,d9f7cee5f68f1ddd0e98640bd968ab13,"market for iron ore, beneficiated, 65% Fe",kilogram
747,ccfb64ee17372f0470664d018b316686,"market for polyvinylchloride, suspension polymerised",kilogram
748,7789a8dc6f2f7d3ca653b27dcda977ca,market for wastewater from ceramic production,cubic meter
749,60c55fc8b0354212c230e80c3aada681,market for carbon black,kilogram
750,e83d9544507e67263a0d1247366dc0be,"market for electricity, medium voltage",kilowatt hour
751,d667de99da77e65830bb3d26d8b77d27,"market for alkylbenzene sulfonate, linear, petrochemical",kilogram
752,d7b2398f8a10f8a4f809783a70e9598e,"market for aluminium, wrought alloy",kilogram
753,b42de7e15fccb706b22f6106a692c0e9,market for tap water,kilogram
754,727d8684a6083e413f9aa802a9bfc879,market for dipropylene glycol monomethyl ether,kilogram
755,6a81b4917d429988eba09940a97df970,"market for electricity, high voltage",kilowatt hour
756,e18b81faca253a61f7187f23fc3b4c72,"market for electricity, medium voltage",kilowatt hour
757,dc1208097a45ca8d251b6de4e1f9df03,"market for electricity, medium voltage, aluminium industry",kilowatt hour
758,7810c3d5b475f779f13bd78a6ef22a77,market for irrigation,cubic meter
759,3ce30880d9b80555ef296e575e7ba700,market for tap water,kilogram
760,49428fd3850badd181a3e96c182ca307,"market for aluminium sulfate, powder",kilogram
761,eb504f4cd619c009497963bac6a9d38a,market for average incineration residue,kilogram
762,b37bf709dc4dcfb647bd15b67376dae4,market for irrigation,cubic meter
763,0196cdff76bc9ebf7d686741c93051b8,market for pyridine,kilogram
764,5b50240fa66d186ed9e579f3158bfb96,market for pump station,unit
765,bbcfe1b77f4efa2070ad9e5677f52cf3,"water works construction, capacity 1.1E10l/year, conventional treatment",unit
766,ffed690cdedfb5ec1979e7de35585a9c,"market for recultivation, iron mine",square meter
767,afaf7f8701e4b2ffce2f086cd1c9b56a,market for phthalic anhydride,kilogram
768,c99352449fbd4d2d43bff2e68b9dbe90,"market for transport, tractor and trailer, agricultural",ton kilometer
769,bb415d7f49afbe3c0fe6727e40156c7f,market for reinforcing steel,kilogram
770,d835f2870a70eec26ff57b80177dc526,"market for furnace, wood chips, softwood storage area, 1000kW",unit
771,9d1d287b4ed396f2dc4073a3f36b15f1,"market for heat, from steam, in chemical industry",megajoule
772,cec117a9995791b9be2f734f712f0176,"market for alkyd resin, long oil, without solvent, in 70% white spirit solution state",kilogram
773,be26bf31dc7d0ef6769b50d3a07c0850,"heat production, natural gas, at boiler modulating >100kW",megajoule
774,13329ecbb6f6c00a9f12182d9d45fc43,"market for funnel glass, for cathode ray tube display",kilogram
775,5beed9319fe22d06b3d014bac34c4c5f,market for waste mineral oil,kilogram
776,04a35152bc7d9eb1dc15b149eef855ed,market for basic oxygen furnace waste,kilogram
777,c36d916cb527e86cabf40f3fc564c826,market for tetrafluoroethane,kilogram
778,15f6314b578b15d95cdc428c358ce40d,market for wastewater from lorry production,cubic meter
779,a7fdd55297bb4fd445c2c75b15c0afbc,market for spray-drying of milk,kilogram
780,ad2c475320466cb2fd277e1db28a27c4,"market group for electricity, high voltage",kilowatt hour
781,ca5ccb0f8d6ec7b531b5264de11a1ec3,market for clay pit infrastructure,unit
782,7ce932862184e48439dfdb776a21ce45,"market for sawnwood, softwood, raw, dried (u=20%)",cubic meter
783,6c5ba18db5db93211d6dbce38ffe0da8,"market for waste mineral wool, final disposal",kilogram
784,6d56595b3370a29f1841117d63bd0691,"market for electricity, medium voltage",kilowatt hour
785,2942f7c53b523e7c684e79c2a431908d,"market for sodium hypochlorite, without water, in 15% solution state",kilogram
786,3abc84e4088a4c796bc24f74cd5733bd,market for bilge oil,kilogram
787,523340e4e85ee026b74bc495f2a60c1d,"market for bisphenol A, powder",kilogram
788,4530462f16af88054d371de2dbe73947,"market for sodium hydroxide, without water, in 50% solution state",kilogram
789,547e27caa7b3e05ac84601708acfc6fe,"market for wood ash mixture, pure",kilogram
790,008a8163b4e7276347fdb6f559cb5c47,"market for polyethylene, low density, granulate",kilogram
791,c439ff0521080b70634344a73bcd8650,market for ethylene glycol monoethyl ether,kilogram
792,d6ec3178b517a8cdfeaf7f9127761ac9,"market for lime, packed",kilogram
793,758cca5f97b97407d9a8aef64c1a0cde,"market for energy feed, gross",megajoule
794,35e704a26435b5d76d6764710d58913a,"market for waste concrete, not reinforced",kilogram
795,1ee93e063d5ac749c5f62ffdfa960828,"market for steel, low-alloyed",kilogram
796,764357b825fd61c4c053cc205d7ca19e,"market for electricity, medium voltage",kilowatt hour
797,142df655963657d9e9e946796abd4793,"market for poultry manure, dried",kilogram
798,0b92f752e90b06ea9c502e7df428cacd,market for trimethylamine,kilogram
799,3ed5d97397dd4525fcf2e8d6208f115d,market for cement mortar,kilogram
800,f79c68f71809c248deefd9f1dff8b0a3,"vinasse, from fermentation of sugarcane molasses, Recycled Content cut-off",kilogram
801,bf7545571e83c8827ce3108e4ffa11d6,"market for hydrogen, liquid",kilogram
802,cfd69721fae405474020ef8f39a4135a,"market for electricity, medium voltage, aluminium industry",kilowatt hour
803,2a9f246c7bee5ca40bfa5489a3575c3f,"market for heat, district or industrial, natural gas",megajoule
804,d74f2c8b5ca618ec0f6ae4548e203209,"market for electricity, medium voltage",kilowatt hour
805,4af142704238ac38488c57bc3bdd841a,"aluminium scrap, new, Recycled Content cut-off",kilogram
806,c732ddbf748026f347233f4691dddef9,"market for electricity, medium voltage, aluminium industry",kilowatt hour
807,f3e5754701559a5cb5472175972877b4,"market for sludge, pig iron production",kilogram
808,f40fd66afd44f3e4fe4051e5d7310e3b,"market for waste paper, sorted",kilogram
809,f23b57e0a408c904d11f7f52b789e1ed,market for nylon 6,kilogram
810,2402f073567dcd9e41421ecdf4fe32d7,market for wastewater from soft fibreboard production,cubic meter
811,5bba2b7cd758eb54bcc37335a6329941,"market group for electricity, high voltage",kilowatt hour
812,07fff365eb1080763396b29f7bc83dd2,market for dichloromethane,kilogram
813,0c8cd9904c5d8970417ec98cc41037f4,"market for electricity, medium voltage",kilowatt hour
814,212e89c01d2b6f4cc09ff7990efb7888,"market for palm oil, crude",kilogram
815,a5983240c1ce9561b1741a3c6f490f62,market for naphtha,kilogram
