,codes,activities,units,Totals,Small,Medium,Large,Mysore City
554,6430bf94365b135bafda7853f118d737,market for nickel smelter slag,kilogram,-46204.636782318135,-46204.636782318135,0.0,0.0,-46204.636782318135
555,2f82833973570115ca4d6348dbd92f6e,"market for wooden board factory, organic bonded boards",unit,0.0007064515918461653,0.00013239514584567584,0.0,0.0005740564460004897,0.0006540645757884502
556,8bff72eb6ecd7de558ffbf4ed2bcd3a7,"market for electricity, medium voltage",kilowatt hour,580167.528366809,105473.47223815075,0.0,474694.0561286576,86996.91345355114
557,4400296f42aa93b2281409664d29c29b,market for waste concrete,kilogram,-3547743.969452447,-1140.3519838332297,-2058476.0520415227,-1488127.565427091,-3045676.6396862217
558,fb999f9d204d56fff815eb787520ffdd,market for activated bentonite,kilogram,1090.3647305184816,0.0,1090.3647305184816,0.0,0.0
559,0d6c5fb48cd310674e93b4aa9bc4849e,market for ammonium carbonate,kilogram,53749.05972908874,53749.05972908874,0.0,0.0,48667.481846488816
560,9520086e966234acd33639094b3ab757,"market for carbon dioxide, liquid",kilogram,64990.25342466003,64990.25342466003,0.0,0.0,46629.94113408719
561,62056b5a6266ca95280eba59e1ab007f,"market for electricity, medium voltage, aluminium industry",kilowatt hour,31698676.942448866,31698676.942448866,0.0,0.0,24361727.820899516
562,04d83c7892991a382a81770e1c6adfaa,market for corrugated board box,kilogram,6514518.974401243,696550.5351124463,277101.78397361044,5540866.655315189,6459049.825495319
563,a48c542318dc815e3c0029cfdb8e84ef,market for ethylene oxide,kilogram,54557.86272577619,54557.86272577619,0.0,0.0,49202.289630352585
564,4ee50c9f6841d882cac7e39c6acb2187,"market group for heat, central or small-scale, other than natural gas",megajoule,34805606.45260021,29892252.50230456,2805868.0220153807,2107485.928280282,30937550.525364213
565,b37bf709dc4dcfb647bd15b67376dae4,market for irrigation,cubic meter,1107054.0414049327,125223.30255407759,0.0,981830.7388508552,125218.7284289964
566,f73ebbe3fe8fd9ac4f9f5547726a5386,market for polystyrene foam slab,kilogram,1229.7891549207102,1229.7891549207102,0.0,0.0,0.0
567,9d92f848eaa544b2748f2a87548d7959,"market for electricity, high voltage",kilowatt hour,0.3215694142582792,0.3215694142582792,0.0,0.0,0.3215694142582792
568,254fb22d2cb90b8442a349f99ba7b5c3,market for strontium carbonate,kilogram,105539.20214739085,105539.20214739085,0.0,0.0,81111.18712675833
569,90f59bf7b4854b0afb5976a6da7037fc,"market for acrylic varnish, without water, in 87.5% solution state",kilogram,28826.006258568243,3035.1612321224798,1228.421740735464,24562.423285710276,28627.083151578605
